Date,Storage
2021-03-23,3.521663951400357
2021-03-24,3.524054145963035
2021-03-25,3.5291030898767843
2021-03-26,3.5307795098801664
2021-03-27,3.539291989968883
2021-03-28,3.540043553766898
2021-03-29,3.540552820456732
2021-03-30,3.5414678382764877
2021-03-31,3.5426803984446447
2021-04-01,3.5441758730112474
2021-04-02,3.541445068252721
2021-04-03,3.544951217750916
2021-04-04,3.5462597616172085
2021-04-05,3.547411321783956
2021-04-06,3.550012818910181
2021-04-07,3.5543371631013643
2021-04-08,3.5568838455998857
2021-04-09,3.559895170208377
2021-04-10,3.565653391420427
2021-04-11,3.568909189244732
2021-04-12,3.5696869827349915
2021-04-13,3.5702917138864803
2021-04-14,3.5734889048876033
2021-04-15,3.5746127935385124
2021-04-16,3.5775813614380443
2021-04-17,3.576639738171879
